# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 2.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1.36148         	1.70725806e+00	5.18651023e-19	1.42811861e-01	-4.40287925e-19	-8.35952019e-02	5.67619537e-19	8.53629029e-01	8.53629029e-01	8.26945048e-19	-3.08294025e-19	-1.21892713e-02	1.55001132e-01
1.39138         	1.69507781e+00	7.14483676e-19	1.60819533e-01	-1.20003740e-18	-1.04908775e-01	9.68534664e-19	8.47538905e-01	8.47538905e-01	1.32577650e-18	-6.11292826e-19	-2.44990085e-02	1.85318541e-01
1.42161         	1.68836309e+00	8.05260189e-19	1.76265636e-01	-1.21013262e-18	-1.24152441e-01	1.27330756e-18	8.44181544e-01	8.44181544e-01	1.67593765e-18	-8.70677464e-19	-3.60196228e-02	2.12285259e-01
1.45189         	1.68358678e+00	7.47380895e-19	1.85397912e-01	-1.21544375e-18	-1.36830925e-01	1.27394143e-18	8.41793391e-01	8.41793391e-01	1.64763188e-18	-9.00250984e-19	-4.41319691e-02	2.29529881e-01
1.48227         	1.68195140e+00	1.34849960e-19	1.97301092e-01	-1.26150837e-18	-1.53514106e-01	3.12643288e-19	8.40975700e-01	8.40975700e-01	3.80068268e-19	-2.45218308e-19	-5.48635594e-02	2.52164652e-01
1.51269         	1.68270351e+00	7.69238003e-19	2.09496900e-01	-1.26280413e-18	-1.71336805e-01	1.27021092e-18	8.41351755e-01	8.41351755e-01	1.65482992e-18	-8.85591920e-19	-6.65883549e-02	2.76085255e-01
1.54322         	1.68720996e+00	7.97424166e-19	2.20953392e-01	-1.39303065e-18	-1.88839029e-01	1.31513407e-18	8.43604978e-01	8.43604978e-01	1.71384616e-18	-9.16421991e-19	-7.83623325e-02	2.99315724e-01
1.57381         	1.69504203e+00	5.01197972e-19	2.34598051e-01	-2.21701360e-19	-2.09658109e-01	6.63154492e-19	8.47521016e-01	8.47521016e-01	9.13753478e-19	-4.12555506e-19	-9.23590833e-02	3.26957134e-01
1.60424         	1.70831425e+00	2.00867981e-19	2.47912140e-01	-1.28961367e-18	-2.30444418e-01	1.35748360e-19	8.54157123e-01	8.54157123e-01	2.36182350e-19	-3.53143692e-20	-1.06488348e-01	3.54400488e-01
1.63444         	1.72391648e+00	2.70969928e-19	2.61154670e-01	-1.30662214e-18	-2.51583527e-01	3.27698478e-19	8.61958239e-01	8.61958239e-01	4.63183442e-19	-1.92213515e-19	-1.21006192e-01	3.82160863e-01
1.6645          	1.74452216e+00	4.79993813e-19	2.75415904e-01	-1.86957160e-19	-2.74578436e-01	8.01580128e-19	8.72261080e-01	8.72261080e-01	1.04157703e-18	-5.61583222e-19	-1.36870484e-01	4.12286388e-01
1.69436         	1.76796032e+00	1.58753107e-19	2.89210807e-01	-1.38880347e-18	-2.97455135e-01	1.47592630e-19	8.83980158e-01	8.83980158e-01	2.26969183e-19	-6.82160766e-20	-1.52849731e-01	4.42060539e-01
1.72406         	1.79627987e+00	6.54189309e-19	3.03120659e-01	-1.96081494e-19	-3.20986656e-01	9.90902644e-19	8.98139935e-01	8.98139935e-01	1.31799730e-18	-6.63807989e-19	-1.69426326e-01	4.72546986e-01
1.75356         	1.82775164e+00	4.75558155e-19	3.17120392e-01	4.40460111e-19	-3.45123884e-01	6.71726648e-19	9.13875822e-01	9.13875822e-01	9.09505725e-19	-4.33947570e-19	-1.86563688e-01	5.03684080e-01
1.7829          	1.86382998e+00	2.91768450e-19	3.31496087e-01	-1.34592026e-18	-3.70167612e-01	3.93079904e-19	9.31914992e-01	9.31914992e-01	5.38964129e-19	-2.47195679e-19	-2.04419569e-01	5.35915655e-01
1.81204         	1.90308466e+00	5.46766179e-19	3.45559379e-01	-1.59853362e-19	-3.95288496e-01	8.45183849e-19	9.51542328e-01	9.51542328e-01	1.11856694e-18	-5.71800760e-19	-2.22508807e-01	5.68068185e-01
1.84102         	1.94819914e+00	4.45948761e-19	3.60174485e-01	-3.11688003e-19	-4.21877416e-01	7.16912483e-19	9.74099571e-01	9.74099571e-01	9.39886863e-19	-4.93938102e-19	-2.41790174e-01	6.01964659e-01
1.8698          	1.99711409e+00	4.86640444e-19	3.78659007e-01	5.10171456e-19	-4.54982396e-01	6.56370619e-19	9.98557045e-01	9.98557045e-01	8.99690841e-19	-4.13050398e-19	-2.65652893e-01	6.44311900e-01
1.89843         	2.05069727e+00	4.51797802e-19	3.95146350e-01	5.85694283e-19	-4.85870853e-01	6.77305437e-19	1.02534863e+00	1.02534863e+00	9.03204338e-19	-4.51406536e-19	-2.88297678e-01	6.83444028e-01
1.92685         	2.10550411e+00	2.39471724e-19	4.01989713e-01	-4.86724045e-19	-5.02719063e-01	2.46383337e-19	1.05275205e+00	1.05275205e+00	3.66119199e-19	-1.26647475e-19	-3.01724206e-01	7.03713919e-01
1.95514         	2.16723954e+00	8.71028406e-19	4.19277524e-01	7.72251896e-19	-5.36194869e-01	1.11353376e-18	1.08361977e+00	1.08361977e+00	1.54904796e-18	-6.78019553e-19	-3.26556107e-01	7.45833632e-01
1.98323         	2.23309207e+00	4.78229296e-19	4.42567916e-01	6.24284224e-19	-5.79754862e-01	7.47041041e-19	1.11654604e+00	1.11654604e+00	9.86155689e-19	-5.07926393e-19	-3.58470904e-01	8.01038821e-01
2.01118         	2.30512041e+00	5.13644408e-19	4.64226527e-01	6.17929700e-19	-6.21647476e-01	8.56503947e-19	1.15256020e+00	1.15256020e+00	1.11332615e-18	-5.99681743e-19	-3.89534212e-01	8.53760739e-01
2.03895         	2.38115151e+00	3.50161347e-19	4.80691310e-01	5.73153241e-19	-6.55760535e-01	6.21903607e-19	1.19057575e+00	1.19057575e+00	7.96984280e-19	-4.46822934e-19	-4.15414880e-01	8.96106190e-01
2.06658         	2.46195671e+00	9.31997817e-19	4.98939930e-01	-6.31670591e-19	-6.92843051e-01	1.65247293e-18	1.23097835e+00	1.23097835e+00	2.11847184e-18	-1.18647402e-18	-4.43373085e-01	9.42313016e-01
2.09403         	2.54491943e+00	6.03632398e-19	5.15235259e-01	-4.85028471e-19	-7.27297405e-01	9.63236666e-19	1.27245971e+00	1.27245971e+00	1.26505286e-18	-6.61420467e-19	-4.69679776e-01	9.84915035e-01
2.12136         	2.63174832e+00	-1.89943542e-19	5.31283213e-01	-2.22755816e-19	-7.62255019e-01	-2.26576311e-19	1.31587416e+00	1.31587416e+00	-3.21548082e-19	1.31604540e-19	-4.96613413e-01	1.02789663e+00
2.14852         	2.72228675e+00	-1.68747736e-19	5.51289102e-01	-2.28954198e-19	-8.04415980e-01	-2.54007349e-19	1.36114338e+00	1.36114338e+00	-3.38381217e-19	1.69633481e-19	-5.28771429e-01	1.08006053e+00
2.17557         	2.81859060e+00	6.08839957e-19	5.71310868e-01	9.68125512e-20	-8.47537533e-01	9.06963799e-19	1.40929530e+00	1.40929530e+00	1.21138378e-18	-6.02543821e-19	-5.61882099e-01	1.13319297e+00
2.20247         	2.91841726e+00	-2.38803660e-19	5.90870186e-01	1.61635209e-19	-8.89966121e-01	-2.57949341e-19	1.45920863e+00	1.45920863e+00	-3.77351171e-19	1.38547511e-19	-5.94531028e-01	1.18540121e+00
2.22924         	3.02257333e+00	4.72278978e-19	6.10498496e-01	-7.88835907e-19	-9.32468884e-01	7.20512620e-19	1.51128666e+00	1.51128666e+00	9.56652109e-19	-4.84373131e-19	-6.27219636e-01	1.23771813e+00
2.25581         	3.12911044e+00	6.23535035e-19	6.29705781e-01	-4.32619286e-19	-9.74867892e-01	9.50762194e-19	1.56455522e+00	1.56455522e+00	1.26252971e-18	-6.38994677e-19	-6.60015002e-01	1.28972078e+00
2.28222         	3.23752871e+00	6.28310621e-19	6.50136981e-01	-3.38739279e-19	-1.01994989e+00	1.04958127e-18	1.61876435e+00	1.61876435e+00	1.36373658e-18	-7.35425962e-19	-6.94881395e-01	1.34501838e+00
2.30844         	3.35318815e+00	5.59338541e-19	6.71323606e-01	-1.21198173e-18	-1.06681325e+00	8.82542267e-19	1.67659407e+00	1.67659407e+00	1.16221154e-18	-6.02872997e-19	-7.31151446e-01	1.40247505e+00
2.33452         	3.46906863e+00	6.57994092e-19	6.92120850e-01	-8.15387890e-19	-1.11318899e+00	1.28649119e-18	1.73453432e+00	1.73453432e+00	1.61548824e-18	-9.57494148e-19	-7.67128563e-01	1.45924941e+00
2.360403        	3.59086082e+00	7.08519015e-20	7.12833116e-01	-5.12506658e-19	-1.15996425e+00	3.72312840e-19	1.79543041e+00	1.79543041e+00	4.07738790e-19	-3.36886889e-19	-8.03547690e-01	1.51638081e+00
2.38613         	3.71644591e+00	5.65078631e-19	7.33193140e-01	-1.17118906e-18	-1.20633408e+00	9.28479658e-19	1.85822295e+00	1.85822295e+00	1.21101897e-18	-6.45940342e-19	-8.39737511e-01	1.57293065e+00
2.41167         	3.84695268e+00	5.91757774e-20	7.54352668e-01	-3.69571171e-19	-1.25426443e+00	3.83135878e-19	1.92347634e+00	1.92347634e+00	4.12723767e-19	-3.53547990e-19	-8.77088093e-01	1.63144076e+00
2.437049        	3.98061164e+00	5.96969018e-19	7.74606708e-01	-7.07564661e-19	-1.30087495e+00	1.19935059e-18	1.99030582e+00	1.99030582e+00	1.49783510e-18	-9.00866081e-19	-9.13571600e-01	1.68817831e+00
2.462255        	4.11781939e+00	1.82600582e-21	7.95226070e-01	-3.94270429e-19	-1.34843804e+00	3.08637697e-19	2.05890970e+00	2.05890970e+00	3.09550700e-19	-3.07724694e-19	-9.50825010e-01	1.74605108e+00
2.487309        	4.25874947e+00	5.02675756e-19	8.16816013e-01	-7.30351396e-19	-1.39791030e+00	1.07842058e-18	2.12937473e+00	2.12937473e+00	1.32975845e-18	-8.27082699e-19	-9.89502293e-01	1.80631831e+00
2.512191        	4.40250584e+00	3.53865855e-19	8.36906667e-01	1.34562482e-19	-1.44498323e+00	5.37443953e-19	2.20125292e+00	2.20125292e+00	7.14376881e-19	-3.60511026e-19	-1.02652989e+00	1.86343656e+00
